trade_date,ts_code,open,high,low,close,volume
2024-01-02,688981.SH,51.2196302162528,51.35367759562663,51.212472116241386,51.34411553710678,14644763
2024-01-03,688981.SH,51.523243049477855,51.51294013541803,51.12692994950832,51.464478258464375,18951041
2024-01-04,688981.SH,51.84318728334255,51.82632499427528,51.31911821637803,51.793951556718454,9810584
2024-01-05,688981.SH,52.97239166118565,53.24962076262948,52.643175299790165,52.89081531405404,33757952
2024-01-08,688981.SH,53.50798237324079,53.889965399469176,52.592522680610955,53.70822153899893,40140681
2024-01-09,688981.SH,54.23106031667293,54.464787600644485,54.25875378784076,54.29799535317083,44727182
2024-01-10,688981.SH,53.87330366059819,54.272482554966544,53.82428078734806,53.95564055466204,25278956
2024-01-11,688981.SH,53.21600408399363,53.279689008859684,52.979599624958055,53.001621840433586,29297581
2024-01-12,688981.SH,53.37080115747024,53.4720884039808,53.12708490131693,53.38840320725993,26435403
2024-01-15,688981.SH,52.842216772331795,53.01291805851168,52.879399385982005,52.9251305018583,28783432
2024-01-16,688981.SH,53.596558007163225,53.815379353393624,53.66143990213921,53.74596048334808,27981053
2024-01-17,688981.SH,53.97545192859738,54.33383785902432,53.89758494808838,53.97770497359717,5672918
2024-01-18,688981.SH,53.47457839722085,53.44434625889057,52.82008673490009,53.28504936577614,20687516
2024-01-19,688981.SH,53.31579251456522,53.67247266055524,53.00775634990502,53.56923057740096,1751253
2024-01-22,688981.SH,54.3011362412541,54.74866194714054,53.93316395122989,54.28457384890763,43409819
2024-01-23,688981.SH,54.56703693909147,54.62463996507028,54.24628536941887,54.48554610928205,16818903
2024-01-24,688981.SH,54.071227443081185,53.998697004669516,53.59524346205449,53.75029813704042,6024579
2024-01-25,688981.SH,54.140585634261214,54.127316202692484,53.60861942142019,54.031712122535566,1980621
2024-01-26,688981.SH,54.62759073417714,54.99047403242978,54.26601397223025,54.407236363713274,14003552
2024-01-29,688981.SH,55.25324442765778,55.63870216682958,55.10348775177585,55.248121464356736,19551424
2024-01-30,688981.SH,55.76116618569699,56.44762802045974,55.82329095192615,55.99883902269003,26501804
2024-01-31,688981.SH,54.878923270696546,55.19944419886174,54.90409628371476,55.11832971533478,15371292
2024-02-01,688981.SH,54.53279464987123,55.12546208454651,54.565631711743755,54.65400186625742,37137811
2024-02-02,688981.SH,55.30100298110279,55.3078125513896,55.21890473291832,55.280779231334954,23798146
2024-02-05,688981.SH,53.59483844415876,54.01257270488657,53.28309016929305,53.643862336500035,39131355
2024-02-06,688981.SH,54.34748022327364,55.137323531012804,53.91979763503343,54.42682719113652,9462948
2024-02-07,688981.SH,53.92857327782194,53.87616204707683,53.571917613253824,53.63742656458146,26020174
2024-02-08,688981.SH,52.87010830607679,53.52186118513194,52.83236618978167,53.25837768436921,17536073
2024-02-09,688981.SH,54.51138406271786,55.15996834480287,54.398579064522735,54.68750406434902,34821395
2024-02-12,688981.SH,55.04451634873327,54.686258392006486,54.37992061385375,54.651384402258586,3241442
2024-02-13,688981.SH,54.430614106257764,54.58139266459374,53.77857211924703,54.38240814331977,33854331
2024-02-14,688981.SH,54.57231529471029,55.169570002511165,54.23473781340428,54.6859137346513,2586652
2024-02-15,688981.SH,54.43260368538903,55.03223027240131,54.431583499272875,54.62082113309307,43407165
2024-02-16,688981.SH,54.16501868112961,54.29215227007573,53.266239074917834,54.035907923170114,35169287
2024-02-19,688981.SH,54.41894091144957,54.69167243827274,54.02701657229236,54.30662478647037,26979259
2024-02-20,688981.SH,56.60016559213145,56.889845961402784,56.34873132573788,56.46433274389594,14211522
2024-02-21,688981.SH,57.20742722681726,57.5725995214475,57.35704473894469,57.43549621692562,27158141
2024-02-22,688981.SH,57.9397934742292,58.079362229875414,57.61947661610814,57.918961406049576,9510926
2024-02-23,688981.SH,58.1752372461744,58.41031803601891,57.779898606484466,58.216914059923255,49031277
